Gene	cardiac_muscle_cell	cardiac_neuron	endocardial_cell	endothelial_cell	fibroblast	leukocyte	myofibroblast_cell	smooth_muscle_cell
ENSCAFG00000017521	0.077660956	0.121806221	1.507129257	0.782561149	0.282154685	0.004226664	0.248641534	0.372216242
ENSCAFG00000031531	0.077660956	0.121806221	1.507129257	0.782561149	0.282154685	0.004226664	0.248641534	0.372216242
ENSCAFG00000031409	0.1805596	0.7106248	1.1308281	0.240855	0.051629	1.6903268	0.3962498	0.2181959
ENSCAFG00000014752	0.43745606	0.09088954	0.97280011	0.09445583	0.26468394	0.07897049	0.29102314	0.12839419
ENSCAFG00000006915	0.008998758	0.003382595	0	0.000922507	0.00355352	0	0.071614422	0.163310221
ENSCAFG00000015298	0.092590279	0	0.463605033	1.143920112	0.012307251	0.430278126	0.000196617	0.001155204
ENSCAFG00000006801	1.631278853	0	0.06679299	0.080129404	0.017403561	0.008913483	0.103006679	0.425789087
ENSCAFG00000008779	0.540493655	0	0.000306158	0.007256332	0.003160195	0.000217231	0	0.003964987
ENSCAFG00000017875	0.179831974	0	0.171449191	0.003813839	0.201823682	0	0.029037635	1.063285565
ENSCAFG00000018642	0.0348	0	0	0.342	9.62e-05	0	0.000312	0
ENSCAFG00000017455	0.030873904	3.009697877	0.054594389	0.036382982	1.190079022	1.66073484	0.00946743	0.002002804
ENSCAFG00000015169	0	0	0	0	0.0013174	0	0.2065344	0
ENSCAFG00000012619	0.26806473	0	1.243251051	0.109399631	1.51893344	0.19033458	0.001182514	0.088203739
ENSCAFG00000017009	0.13535462	0.45922626	0.14023109	0.05527924	0.76449218	0.11638948	0.17553391	0.03584368
ENSCAFG00000009273	0.066336122	0	1.409564418	0.454981084	0.001634442	1.825697745	0.000180894	0.001341848
ENSCAFG00000017669	0.002925403	0	0.000338063	0.000117283	0.000163757	0.355390022	0	0
ENSCAFG00000013256	0.016302147	0	0.000210165	0	0.356398442	0.000117923	0.165371516	0
ENSCAFG00000006142	0.55977246	0.04799645	1.61776569	0.09067686	5.40803038	0.15064528	0.3168479	0.05586484
ENSCAFG00000010719	0.006949986	2.151224104	0.038835355	0.000309439	0.105531532	0	0.00030592	0.001006917
ENSCAFG00000006948	0.058152107	0.001355846	0.000306158	0.000185731	0.000154083	0.980108872	0	0
ENSCAFG00000015519	0	0.00339	0.00018	0.000295	4.97e-05	0.318	0.0789	0
ENSCAFG00000019824	0.064159684	0.008950129	0.024596809	0.00932028	2.407468731	0.022952664	0.001670271	0
ENSCAFG00000007304	0.064357918	0	0.014477658	0.035053518	1.876702687	1.240274797	0.158066213	0.003171703
ENSCAFG00000014645	0.000918847	0	0	0.001076552	0.003426301	1.079189162	0.014366015	0.252046397
ENSCAFG00000012174	0.530915662	0.989904251	0.018320766	0.008701279	0.775915731	0.034978588	1.178170681	0.85460279
ENSCAFG00000005594	0.046114636	2.403238733	0.078448685	0.041750606	0.095055632	0.002162838	0.025966587	0
ENSCAFG00000018932	0.546913169	0.280902812	1.041785337	0.315945592	1.261295671	0.000629163	0.825080847	0.377598813
ENSCAFG00000011742	0.037778738	0.159788062	0.027683117	0.102414743	0.002877119	0.437064735	0.000816298	0.472446484
ENSCAFG00000004095	0.11812978	0.75686391	1.20188667	2.31677282	0.94209315	0.01384222	1.1850581	1.22174035
ENSCAFG00000005691	0.570832206	0	0.000128331	0.022241494	0.000382086	0.000843367	0	0
ENSCAFG00000010917	0.35359543	0.27868503	0.69001925	0.79501959	0.04500355	0.16180247	0.19676409	0.05421165
ENSCAFG00000010382	0	0.601529693	0	0	0	0.000422616	0	0
ENSCAFG00000005528	0.3407009	1.3570134	0.7786306	0.1494205	2.1179073	1.6940421	0.1896452	0.7758879
ENSCAFG00000024660	1.277275929	0	0.003679394	0.036056047	0.003179299	0.001886284	0	0
ENSCAFG00000000482	0.048647105	0	0.192086083	0.329111249	0.000905666	0	0.053730395	0
ENSCAFG00000008582	0.001022887	0.179624251	0.018791061	0.008208574	0.759685869	0.007651266	0.000756964	0
ENSCAFG00000006830	0	0	0	0.000251	2.92e-05	0.622	0	0
ENSCAFG00000016961	0.000263234	0.05288475	0	0.055155416	0.000436174	0.547911649	0.003484248	0
ENSCAFG00000011799	0.094206353	2.745521827	0.018572633	0.026833245	1.601303637	0.003744618	0.085508331	0.001341848
ENSCAFG00000016306	0.067113094	0.142855494	0	0.116028307	0.006573745	0.022737953	0.363974608	0.267646704
ENSCAFG00000004973	0.23103564	1.0689436	0.08783555	0.02636365	0.88038275	0.82745204	0.14876825	0.13616792
ENSCAFG00000006091	0.04398579	0.11426545	0.21775025	1.10076118	0.02443617	0.15945712	0.53083296	0.51508828
ENSCAFG00000005843	0.114133059	0.443312943	0.725879842	0.148244842	0.999134095	0.000385749	0.282881657	0.394752108
ENSCAFG00000028947	0.06858746	0.00342615	0.25451239	0.06363593	1.01337273	0.03069883	0.07830421	0.06993894
ENSCAFG00000007728	0	0	0	0.005888934	0.001480033	0.001505901	0.328291783	0.001057835
ENSCAFG00000000246	0.000861742	0	0.567940833	0.001889609	0.011130745	0	0	0
ENSCAFG00000015655	0.046810144	0	0.011804367	0	0.001097164	0.005803898	0.168194255	2.594879908
ENSCAFG00000010231	0.394905487	0	0.014278798	0.060567654	0.001992733	0.012758094	0	0
ENSCAFG00000019522	0.042164384	0.841346657	0.036322014	0.015873629	1.902876689	0.007065523	0.320205862	0.003962433
ENSCAFG00000025442	0.20733281	0	0.025648574	0	0.001882337	0	0	0
ENSCAFG00000002927	0.047651131	0	0.000919772	0.562508638	0.00260674	0	0	0
ENSCAFG00000025533	0.010659989	0	0.076530562	0.000788768	0.013045967	0	0	0.681700276
ENSCAFG00000010484	0.277197128	0.093031734	0.273918316	0.001641602	0.003595949	0.000936397	0	0
ENSCAFG00000005779	0.2270516	0.2238459	0.3386727	0.3436805	0.1872601	0.1828418	0.6017558	1.6138248
ENSCAFG00000032335	0.006144378	0.535675039	0.031126133	0.000468092	0.011742074	0.005902177	0	0
ENSCAFG00000009564	0.0198108	0	0.82306909	0.21070506	0.15152475	0.03523638	0.1110366	0.56697429
ENSCAFG00000013503	0.009286509	0	0	0.002320184	0.000128803	0.019856761	0.071487931	0.518465834
ENSCAFG00000004011	0.000139053	0	0	0.004071699	0.002334502	1.002628345	0.002405686	0.002016498
ENSCAFG00000005365	0.501265725	0	0.005224532	0.011989954	0.019377301	0.002770781	0.031687849	0
ENSCAFG00000012663	0.778259064	0.499448656	0.000890614	0.004624475	0.034394388	0.015540717	0.110242461	0.024641569
ENSCAFG00000001792	0.383201811	1.050230016	0.528015833	0.75136493	0.082899575	0.000617021	0.000384588	0.002002804
ENSCAFG00000016934	0	0.49439158	0.000589937	0	0.015680543	0	0.142991959	0
