Signature_genes	cardiac_muscle_cell	cardiac_neuron	endocardial_cell	endothelial_cell	fibroblast	leukocyte	myofibroblast_cell	smooth_muscle_cell
ENSG00000113140.6	0.78781091	5.08856053	2.22129783	3.72162772	3.23506251	0.05974043	4.22138542	3.50255505
ENSG00000143248.8	0.101151194	0	0.015824663	0.329356207	0.002692205	0.000946914	4.210803567	3.447469757
ENSG00000121361.3	0.000153231	0	0.000210165	0.082805777	0.050434054	0	4.011247024	0
ENSG00000111341.5	0.50487464	0.0318974	3.79985534	0.20769317	4.39458656	0.06346045	3.93561761	1.68675104
ENSG00000109072.9	0.013185434	0	0.00136393	0.032589908	0.006457194	0.000100025	3.827495825	0.463179811
ENSG00000140545.10	0.4784176	1.0129674	2.1974223	1.4939845	1.129125	0.225264	3.7577554	2.9804924
ENSG00000110651.7	1.610298	2.934897	2.769987	3.226436	2.788414	2.737239	3.677561	2.13636
ENSG00000152583.8	0.43867074	0.99079909	0.02249302	3.30976204	2.41221241	0.03440949	3.12024485	4.08139904
ENSG00000069431.6	0.116131287	0	0.051345486	0.046308202	0.152691673	0.00013923	3.05498754	0.181256323
ENSG00000188375.3	0.5827178	2.8831401	2.3431676	2.0667722	2.1754002	2.6215836	3.0259571	2.474663
ENSG00000118004.13	0.01149079	0.001355846	1.253332894	0.040772117	0.031502503	0	2.961668226	0
ENSG00000122545.13	0.7473967	1.5082229	1.2243172	1.1167794	1.3899995	1.0028851	2.8863039	2.3176039
ENSG00000127954.8	0	0	0.02460965	0.04081287	0.12256488	0	2.70927838	0.30061281
ENSG00000107562.12	0.16781335	0.42443661	0.04474732	2.36538234	1.2303662	0.06376607	2.64336247	0.85923596
ENSG00000154620.5	0.573085	2.055744	2.989499	3.866539	2.101575	3.987446	2.600972	1.502335
ENSG00000143933.12	1.226501	1.978997	1.869957	1.570754	1.934874	1.979565	2.545184	3.11981
ENSG00000135404.7	0.9410767	1.1200261	1.449386	0.1652937	2.4377726	1.3176752	2.4466467	1.8842045
ENSG00000142910.11	0.121188614	0	1.296807567	2.011336717	0.005661772	0.000567836	2.437486446	2.025687384
ENSG00000122786.15	0.16834177	1.65846434	0.5619192	0.89124704	1.28037468	0.05369225	2.39727404	3.23829338
ENSG00000149131.11	0.3223359	0.5581131	0.61817892	0.06958882	3.66744554	0.06806051	2.33003491	2.66191619
