AccID	FC	FDR	Style
BLID	0.27	0	down
SGTA	1.54	0	up
LOC102724782	0.59	0	down
SLC25A5	1.52	2.22E-16	up
IKZF2	0.66	3.93E-13	down
PPP1R12C	1.79	6.56E-12	up
RABAC1	1.72	1.65E-11	up
MDM1	0.65	3.85E-11	down
ABCA10	0.46	1.88E-10	down
ANGPTL2	1.81	5.97E-10	up
SPTLC3	0.62	2.74E-09	down
TSPEAR	0.05	3.54E-09	down
SRRM3	1.81	4.35E-09	up
LBH	1.69	6.7E-09	up
TSTA3	1.52	4.3E-08	up
IL1RAPL1	0.49	5.19E-08	down
FRA10AC1	0.63	7.13E-08	down
ABCD2	0.54	8.45E-08	down
FAM122C	0.63	1.29E-07	down
GYPC	1.66	2.25E-07	up
ACADL	0.65	3.31E-07	down
DHRS9	2.43	3.4E-07	up
GPR21	0.51	3.98E-07	down
PAPOLB	0.56	4.1E-07	down
POPDC3	1.64	6.6E-07	up
CPLX3	0.19	7.77E-07	down
CTNND2	1.95	1.31E-06	up
PTPRQ	0.50	1.6E-06	down
ST8SIA5	1.91	1.72E-06	up
SOCS2	1.62	1.74E-06	up
RPL41	1.78	2.2E-06	up
SLC6A8	1.54	2.38E-06	up
GPR52	0.45	2.44E-06	down
LOC105377310	0.53	2.51E-06	down
STRIP2	0.55	3.33E-06	down
FRMPD3	0.52	4.06E-06	down
FREM2	0.08	4.73E-06	down
FLJ20712	0.44	6.65E-06	down
EPHB2	0.64	6.96E-06	down
PGPEP1L	0.30	8.01E-06	down
ESRRB	2.41	8.16E-06	up
KCTD16	0.35	8.51E-06	down
REC114	0.20	8.73E-06	down
DFNB59	0.51	1.12E-05	down
UBD	0.06	1.35E-05	down
RGS6	0.55	1.4E-05	down
DLG2	0.56	1.51E-05	down
REEP2	1.56	1.8E-05	up
RAB11FIP4	0.51	2.23E-05	down
EML5	0.51	2.49E-05	down
GPR35	0.53	2.83E-05	down
GPR135	0.55	3.21E-05	down
CBX2	2.57	3.22E-05	up
SLC52A3	2.72	3.28E-05	up
RSPO4	0.26	3.28E-05	down
EID3	0.51	3.88E-05	down
RORB	0.45	4.87E-05	down
SURF2	1.51	4.96E-05	up
CSRP3	1.67	5.01E-05	up
MDH1B	0.57	5.48E-05	down
KCNH7	0.42	6.39E-05	down
CAPS2	0.65	6.76E-05	down
IQCJ	0.39	8.15E-05	down
CDH10	0.11	9.69E-05	down
UPF3B	0.63	0.000102	down
F2R	1.60	0.000105	up
MGAT4C	0.31	0.000106	down
LOC101060389	0.46	0.00011	down
CHRNA10	0.56	0.000114	down
ZNF334	0.57	0.000124	down
NME2	1.54	0.000128	up
LOC100287290	0.58	0.000137	down
LOC105379177	0.53	0.000138	down
LOC101928596	1.93	0.000138	up
SSPO	0.54	0.000145	down
ATP2A1	0.33	0.000149	down
DGCR6L	1.67	0.000154	up
CTTNBP2	0.66	0.000164	down
SERPINI2	0.45	0.000169	down
ATP5L2	0.43	0.000172	down
TNFSF4	0.49	0.000173	down
LRFN4	1.57	0.000176	up
ECHDC2	0.65	0.000178	down
RPL37A	1.59	0.000186	up
RBP7	2.24	0.000192	up
SLC15A2	0.48	0.000197	down
WDR17	0.65	0.000213	down
DNAJC5G	0.25	0.000223	down
HIVEP3	0.64	0.000249	down
HES4	1.65	0.000262	up
AGER	0.59	0.000303	down
COL7A1	0.50	0.000311	down
NCKAP5	0.62	0.000316	down
UPP2	0.19	0.000331	down
KCNJ5	0.53	0.000337	down
ANKRD36	0.57	0.000339	down
ACCS	0.60	0.000348	down
LOC101060254	0.07	0.000378	down
LOC101927147	0.31	0.000404	down
COX6A1	1.63	0.00042	up
SLC6A16	0.65	0.000421	down
EYA2	0.65	0.000433	down
LCN1	41.84	0.000439	up
YBX3	1.53	0.000446	up
PHOSPHO2	0.62	0.000451	down
FAU	1.59	0.00046	up
SLC10A5	0.46	0.000482	down
ANXA13	0.09	0.000536	down
RRAD	2.21	0.000539	up
LMAN1L	0.32	0.00055	down
UTS2R	2.54	0.000574	up
FAM101B	2.20	0.00062	up
HIST1H3E	1.83	0.000626	up
RPL36	1.50	0.000789	up
FLT4	1.81	0.000839	up
UQCRQ	1.61	0.000893	up
PTPN5	2.75	0.000899	up
CPNE4	0.38	0.000913	down
KCNA6	0.65	0.001069	down
CALM3	1.61	0.00108	up
TMEM67	0.63	0.001109	down
USMG5	1.67	0.001123	up
LOC105370641	0.55	0.001146	down
HMGN5	0.63	0.001157	down
LOC105373268	0.53	0.001164	down
ACVRL1	1.74	0.001247	up
TBX18	0.54	0.001291	down
MUM1L1	0.55	0.001394	down
LCNL1	0.44	0.001398	down
BCL6	0.66	0.001481	down
ACADS	1.58	0.0015	up
ZNF90	0.58	0.001644	down
WDR18	1.51	0.001688	up
ATHL1	0.59	0.001832	down
C1QTNF5	1.62	0.001917	up
FOXS1	2.19	0.001927	up
L3HYPDH	0.66	0.002074	down
EPHB4	1.52	0.00215	up
MTFP1	2.11	0.002207	up
HIST1H2AH	2.52	0.002233	up
AVIL	0.52	0.002309	down
CCDC184	2.30	0.002389	up
LIPM	0.11	0.002493	down
REM1	1.51	0.002528	up
RPP21	1.72	0.00253	up
HSPA12B	2.02	0.002546	up
HOOK1	0.54	0.002564	down
RPS18	1.61	0.002579	up
STK32A	0.65	0.002625	down
KCNA3	0.36	0.002764	down
VWF	1.84	0.002865	up
KLRG1	0.51	0.002868	down
TMEM116	0.66	0.002909	down
MIF	1.50	0.002952	up
MTTP	0.60	0.00323	down
TRPT1	1.79	0.00326	up
SLC9A3R2	1.72	0.003443	up
SEMA3F	1.92	0.003506	up
KIF17	1.62	0.003533	up
NUDT14	1.54	0.003621	up
LDHD	1.70	0.003721	up
CD300LG	2.26	0.003729	up
COX7A2	1.54	0.003893	up
CA2	1.51	0.004004	up
GOLGA8A	0.61	0.00407	down
PCDH12	2.27	0.00442	up
SPATA9	0.45	0.004451	down
TINAGL1	1.82	0.004474	up
DIRAS1	1.68	0.004699	up
CRYGD	0.06	0.004721	down
TSPO	1.52	0.004925	up
GPC5	0.26	0.004934	down
RPL18A	1.57	0.005127	up
TDRD12	0.17	0.005295	down
LOC105372493	0.45	0.005666	down
CDR2L	1.54	0.005721	up
FCN3	3.17	0.005747	up
PNMA3	2.10	0.005777	up
GABRA5	0.27	0.006078	down
PRSS23	1.75	0.006302	up
NAALAD2	0.62	0.006574	down
RASGRP1	0.50	0.006656	down
LINGO2	0.22	0.006803	down
RPL3L	2.26	0.006844	up
LRRD1	0.27	0.006985	down
LOC285500	0.64	0.007007	down
NOTCH4	1.78	0.007118	up
ADAM20	0.48	0.007171	down
POLG2	0.63	0.007188	down
CYFIP2	0.66	0.007376	down
ASB9	1.69	0.007473	up
RPS11	1.61	0.007675	up
RNF17	0.12	0.007692	down
